SWI5	CBF1	GAL4	GAL80	ASH1
24.535	25.66	21.97	21.98	23.475
22.81	24.65	22.72	21.95	23.93
22.92	24.775	22.995	22.955	22.85
21.905	24.11	22.39	23.18	21.855
22.08	24.5475	23.0625	23.1925	21.8
21.855	23.385	22.47	22.755	21.4
22.975	23.925	23.92	23.955	21.9
22.83	23.375	23.94	23.95	22.815
22.53	21.895	23.515	22.965	21.875
22.99	22.875	23.975	22.755	22.895
21.75	21.385	22.63	22.53	21.395
22.155	21.54	22.965	22.69	21.485
22.37	21.92	22.97	22.88	21.905
22.4	21.69	23.22	22.945	21.74
22.705	22.44	23.53	23.05	22.3
